Lowest LR, MM: 0.000171875, 0.25
Lowest Error: 3.86530924832325
0.3875 0.000234375 4.30437028560208
0.3875 0.00025 5.54346524759797
0.3875 0.000265625 6.30612887957977
0.3875 0.00028125 6.55708062549534
0.3875 0.000296875 4.85624805941259
0.4 0.00015625 4.93103403255762
0.4 0.000171875 4.59319796569727
0.4 0.0001875 4.25508161355383
0.4 0.000203125 5.89140457091991
0.4 0.00021875 5.34333356544038
0.4 0.000234375 4.90600644907832
0.4 0.00025 4.71621422168453
0.4 0.000265625 5.92745721104101
0.4 0.00028125 5.14196354679966
0.4 0.000296875 5.25609951541532
0.4125 0.00015625 5.17985169762599
0.4125 0.000171875 5.25073164768934
0.4125 0.0001875 5.75462854979155
0.4125 0.000203125 5.19355333156943
0.4125 0.00021875 5.03244083516743
0.4125 0.000234375 5.27743201364352
0.4125 0.00025 6.05334844292296
0.4125 0.000265625 5.27672256522771
0.4125 0.00028125 4.89323180314891
0.4125 0.000296875 4.93851773531174
0.425 0.00015625 5.63734158152229
0.425 0.000171875 4.92956057861329
0.425 0.0001875 5.9906309125801
0.425 0.000203125 5.4023670936395
0.425 0.00021875 4.72603706184559
0.425 0.000234375 4.20429670387704
0.425 0.00025 6.20110741739847
0.425 0.000265625 6.25796766594956
0.425 0.00028125 5.22977110498572
0.425 0.000296875 5.40045242164511
0.4375 0.00015625 5.07653444287465
0.4375 0.000171875 5.77938412192535
0.4375 0.0001875 5.26842850410363
0.4375 0.000203125 4.88337761099759
0.4375 0.00021875 4.75838349619307
0.4375 0.000234375 5.20836075456014
0.4375 0.00025 5.75241320435052
0.4375 0.000265625 5.44385994614093
0.4375 0.00028125 6.51075673399839
0.4375 0.000296875 5.02318047823667
0.45 0.00015625 6.39260968103928
0.45 0.000171875 5.62771669086924
0.45 0.0001875 4.88845944260927
0.45 0.000203125 5.31783515429612
0.45 0.00021875 5.05345835767605
0.45 0.000234375 5.03707871361886
0.45 0.00025 5.37550570720581
0.45 0.000265625 4.42677167747765
0.45 0.00028125 4.76851008162028
0.45 0.000296875 5.33227172576808
0.4625 0.00015625 5.06802362882846
0.4625 0.000171875 5.09692974709781
0.4625 0.0001875 6.14629474071305
0.4625 0.000203125 5.76842772902001
0.4625 0.00021875 5.41075395647782
0.4625 0.000234375 5.87197274330251
0.4625 0.00025 5.42530618400108
0.4625 0.000265625 5.60469220088057
0.4625 0.00028125 5.46370298322873
0.4625 0.000296875 4.74326375644412
0.475 0.00015625 4.91502359089922
0.475 0.000171875 5.98060947845156
0.475 0.0001875 4.01809736942785
0.475 0.000203125 4.51644071528945
0.475 0.00021875 4.18588568684792
0.475 0.000234375 6.24912853042914
0.475 0.00025 4.81285852247232
0.475 0.000265625 5.54777210010474
0.475 0.00028125 5.61129487458209
0.475 0.000296875 4.34239269604695
0.4875 0.00015625 5.71803357906445
0.4875 0.000171875 5.64198806593671
0.4875 0.0001875 4.58643073440992
0.4875 0.000203125 5.85502342620282
0.4875 0.00021875 3.93249081263388
0.4875 0.000234375 5.46808729926919
0.4875 0.00025 5.17534331048931
0.4875 0.000265625 4.39729833424446
0.4875 0.00028125 4.19673944959203
0.4875 0.000296875 4.59679564227709
